id,store_id,title,purchase_url,price,gluten_free_tag,high_protein_tag,sugar_free_tag,vegan_tag,ketogenic_tag,flavor
110,25,네플스콘 프로틴빵 플레인 고단백 수제 글루텐프리스콘 골라담기,https://smartstore.naver.com/f_nergy/products/7553645822,5100,0.0,0.0,0.0,0.0,0.0,플레인 코코넛밀크 (+200원) 쑥 (+100원) 무화과얼그레이 (+300원) 황치즈 (+300원)
111,7,"그림의빵 고단백 저당 크림빵 9개,100%곡물단백 당뇨와건강몰입점",https://smartstore.naver.com/grimmsbread/products/8248624953,49500,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,구성1 구성2 구성3 딸기맛 3개 우유 3개 초코 3개 흑임자 3개
112,19,"우주 크림빵[밀크, 초코][10개입]",https://smartstore.naver.com/dduddustore/products/10499656249,54000,0.0,0.0,1.0,0.0,0.0,우주 크림빵(밀크)(10개입) 우주 크림빵(초코)(10개입)
113,22,[포포브레드] 쌀 소금빵 치즈 / 시오빵 비건 노밀가루 빵 빵집 베이커리,https://smartstore.naver.com/forfourbread/products/8251867816,4000,1.0,0.0,0.0,1.0,0.0,쌀소금빵 치즈 쌀소금빵 (+500원)
114,6,[소소한 소금빵 10개 세트] 비건빵 100% 건강빵 간식,https://smartstore.naver.com/thebreadblue/products/10471607904,27500,0.0,0.0,0.0,1.0,0.0,필수상품 없음
115,6,[호두 깜빠뉴] 더브레드블루 비건빵 건강간식 저당 건강 식사대용,https://smartstore.naver.com/thebreadblue/products/10638548817,9900,0.0,0.0,1.0,1.0,0.0,필수상품 없음
116,14,시나몬 레이즌 건포도 초코칩 비건쿠키,https://smartstore.naver.com/veganez/products/9899492895,5600,1.0,0.0,0.0,1.0,0.0,🍪 선택 🍪
117,12,토스트 다이어트 비건 쌀 구름식빵 샌드위치 식사대용 발효빵 미니빵,https://smartstore.naver.com/dearmyqueen1553/products/8127101482,9500,1.0,0.0,0.0,1.0,0.0,식빵 종류 구름식빵 꼬소구름식빵 (+700원) 베리구름식빵 (+500원)
118,11,"저당 고단백질 햄치즈롤 무설탕, 무밀가루 식단빵 건강빵",https://smartstore.naver.com/ketopantry/products/10617429903,5000,0.0,0.0,0.0,0.0,0.0,저당 햄치츠롤
119,10,키토빵앗간 휘낭시에 (저당 글루텐프리 저탄수빵),https://smartstore.naver.com/ketobbang/products/5621391775,2400,1.0,0.0,0.9230769230769231,0.0,0.0,플레인 (BEST) 솔티드 캐러멜 (+200원) (BEST) 무화과 크림치즈 (+400원) 말차 (+200원) 카카오 (+200원) 얼그레이 (+200원) (BEST) 커피칸 (+400원) 페레로 (+400원) (BEST) 애플 크럼블 (+400원) 가나슈 (+200원) 미니 붕어빵 (+200원) 코코넛 (+200원) 마늘빵 (+400원)
120,5,"꾸디 비건 크럼블 4종(단짠마약옥수수, 쑥스러운찰떡, 단호하지않은단호박, 딥초코꾸덕)",https://smartstore.naver.com/ggudi/products/5265056145,5600,0.0,0.0,0.0,1.0,0.0,크럼블 선택 coming soon ★
121,12,올리브 쌀 치아바타,https://smartstore.naver.com/dearmyqueen1553/products/8089026511,5500,1.0,0.0,0.0,1.0,0.0,필수상품 없음
122,6,"[구운 통밀 고로케 6개입 세트] 야채 고로케, 비건 간식, 식사대용",https://smartstore.naver.com/thebreadblue/products/10472067235,26400,0.0,0.0,0.0,1.0,0.0,야채 매콤야채
123,13,[빵어니스타] 비건 라미쿠키 개별 구매 페이지 (당일 미입금 시 주문 취소),https://smartstore.naver.com/shophonesta/products/6130615730,5800,0.0,0.0,0.0,1.0,0.0,"넛츠(초코칩X) 흑임자 (-300원) 쑥 (-300원) 단호박 (+100원) 모카(초코칩X) 피칸(초코칩X) (+1,400원) 황치즈(초코칩X) (+500원) 오레오(초코칩X) (+500원) 얼그레이(초코칩X) (-100원) 피넛버터(초코칩X) (+400원) 바닐라빈(초코칩X) (+900원)"
124,6,올리브쌀 치아바타 비건빵 100% 쌀빵 건강빵 더브레드블루,https://smartstore.naver.com/thebreadblue/products/5314453883,4900,0.0,0.0,1.0,1.0,1.0,매콤올리브 치아바타 감자 치아바타 시금치 치아바타
125,12,비건버터 쌀식빵,https://smartstore.naver.com/dearmyqueen1553/products/9022144231,11500,1.0,0.0,0.0,1.0,0.0,필수상품 없음
126,30,비건 글루텐 프리 마들렌 8종 (2P),https://smartstore.naver.com/gouterbakery/products/8015684149,3600,0.0,0.0,0.0,1.0,0.0,다크초코 얼그레이 에스프레소 제주유자 제주말차 단호박
127,3,비건 스콘 비건빵 팥이랑밤이레스콘,https://smartstore.naver.com/vegan_for_sevendays/products/5487644794,3800,1.0,0.0,0.0,1.0,0.0,비건이레 비건스콘 팥이랑밤이레스콘 메이플무화과스콘 (-300원) 썸머스콘 (-100원) 쑥아몬드스콘 (-300원) 라임통밀스콘 (-300원) 애플시나몬스콘 (-300원) 더블쇼콜라스콘 (-300원) 블랙스콘 (-300원) 코코넛크랜베리스콘 (-300원) 베리베리쨈스콘 (-100원) 쪽파스콘 (-300원)
128,6,[호밀100] 더브레드블루 비건빵 건강간식 저당 건강 식사대용,https://smartstore.naver.com/thebreadblue/products/10638521377,15000,1.0,0.0,1.0,1.0,1.0,필수상품 없음
129,3,비건이레 수제 비건 쿠키 얼그레이오망아메리칸쿠키,https://smartstore.naver.com/vegan_for_sevendays/products/5954319644,3500,1.0,0.0,0.0,1.0,0.0,얼그레이오망아메리칸쿠키 오리지널아메리칸쿠키 쑥피넛아메리칸쿠키 헤이즐넛아메리칸쿠키 베리마카다미아아메리칸쿠키 쇼콜라스모어쿠키 얼그레이레몬스모어쿠키 쑥쑥스모어쿠키 유자스모어쿠키 베리스모어쿠키 제주말차스모어쿠키 모카라떼스모어쿠키 흑임자오레오스모어쿠키
130,31,"글루텐프리 무설탕케이크 [알룰로스,에리스리톨사용]",https://smartstore.naver.com/xake/products/9883771718,12000,1.0,0.0,0.0,0.0,0.0,"오리지널 흑임자 (+1,000원) 얼그레이 (+1,000원) 초코 (+1,500원) 호두당근 (+2,000원)"
131,22,[포포브레드] 조각 호두파이 / 쌀 디저트 글루텐프리 노밀가루 비건 베이커리,https://smartstore.naver.com/forfourbread/products/8127086196,5500,1.0,0.0,0.0,1.0,0.0,호두파이
132,26,저당빵 글루텐프리 촉촉한 생크림 스콘 아몬드가루빵,https://smartstore.naver.com/humming_pound/products/6623648345,4500,1.0,1.0,1.0,0.0,0.0,필수상품 없음
133,22,[포포브레드] 쌀깜빠뉴 4종 / 무설탕 저염 천연발효종 비건 빵 베이커리,https://smartstore.naver.com/forfourbread/products/5268719698,7500,1.0,0.0,0.0,1.0,0.0,"쌀깜빠뉴 고소한끼 쌀깜빠뉴 (+1,000원) 무화과 쌀깜빠뉴 (+700원) 치즈 쌀깜빠뉴 (+1,000원)"
134,12,비건 아메리칸 쿠키 2종,https://smartstore.naver.com/dearmyqueen1553/products/8723454443,11700,1.0,0.0,0.0,1.0,0.0,쿠키 맛 초코 피칸 녹차 마카다미아
135,6,오트 크림빵 비건빵 100% 귀리 건강 간식,https://smartstore.naver.com/thebreadblue/products/7888358928,5390,0.0,0.0,0.0,1.0,0.0,오리지널 초코
136,12,비건 글루텐프리 베이글 [쑥],https://smartstore.naver.com/dearmyqueen1553/products/10408024042,4200,1.0,0.0,0.0,1.0,0.0,필수상품 없음
137,15,틴베이크 프로틴 단백질 플틴 바나나 파운드 케이크 식사 식단 빵,https://smartstore.naver.com/teinbake/products/8698425868,4000,0.0,0.0,0.0,0.0,0.0,바나나파운드 고구마파운드 쑥파운드 제주밤호박파운드
138,8,[모닐이네하우스] 순삭각 쌀 샤브레 쿠키 4종 글루텐프리,https://smartstore.naver.com/monil2house/products/8606908056,4500,1.0,0.0,0.0,0.0,0.0,초코(8개입) 쑥(8개입) 카라멜호두(8개입) 까망베르치즈(8개입)
139,6,소소한 소금빵 비건빵 100% 건강빵 간식,https://smartstore.naver.com/thebreadblue/products/7048770140,2750,0.0,0.0,0.0,1.0,0.0,필수상품 없음
140,14,저당 비건 글루텐프리 간식 피넛버터 쿠키,https://smartstore.naver.com/veganez/products/9954247586,5200,1.0,0.0,0.0,1.0,0.0,🍪 선택 🍪
141,14,저당 간식 쿠키 피넛 초코칩 땅콩쿠키,https://smartstore.naver.com/veganez/products/9931974653,5200,1.0,0.0,0.0,1.0,0.0,🍪 선택 🍪
142,10,키토빵앗간 쿠키 (저당 글루텐프리 저탄수빵),https://smartstore.naver.com/ketobbang/products/6112318422,4300,1.0,0.0,0.75,0.0,0.0,피칸 초코칩 쿠키 말차 마카다미아 화이트초코칩 쿠키 얼그레이 무화과 크림치즈 쿠키 비건 오트밀 쿠키
143,32,단백질 디저트 빵떡집 글루텐프리 단백질빵 빵떡이,https://smartstore.naver.com/bbangttuk_house/products/10266867757,9900,1.0,0.0,0.0,0.0,0.0,"맛보기 6구/BEST 3구 맛보기 6구(모든맛) (+9,000원) BEST 3구(솔티카라멜 초코 고구마)"
144,14,땅콩이 피칸 볼 쿠키 비건쿠키 글루텐프리 저당 간식,https://smartstore.naver.com/veganez/products/9899459424,5700,1.0,0.0,0.0,1.0,0.0,🍪
145,2,비건 유기농 쌀 미니 치즈케이크 5종 글루텐프리,https://smartstore.naver.com/meandri/products/10055747167,4600,1.0,0.0,0.0,1.0,0.0,치케컵 단호팥 흑임자깨 쑥녹밤 얼라즈 체리베리
146,33,"[쌀쿠키 답례품🕊] 결혼식답례품, 회사간식, 승진선물, 퇴사선물, 기업행사답례 수제간식",https://smartstore.naver.com/bbangmiso/products/9924956510,5000,1.0,0.0,0.0,0.0,0.0,쌀브레쿠키 3가지 맛 구성 4가지 맛 구성 (+500원)
147,22,[포포브레드] 선물 꾸러미 세트 / 선물 세트 비건 빵 베이커리,https://smartstore.naver.com/forfourbread/products/6574531190,40000,1.0,0.0,0.0,1.0,0.0,"삼삼한 꾸러미 세트 포포 꾸러미 세트 (+10,000원)"
148,8,"[모닐이네하우스] 쌀로 만든 츄러스 (글루텐프리, 설탕함유 or 무설탕 선택가능)",https://smartstore.naver.com/monil2house/products/9935315681,8700,1.0,0.0,0.0,0.0,0.0,설탕함유버전 무설탕버전
149,8,"[모닐이네하우스] 무설탕, 콩으로 만든 키쇼 (3종) 선물세트",https://smartstore.naver.com/monil2house/products/8877396301,17500,,,,,,
150,19,호박 케이크 무설탕 무밀가루 글루텐프리 난각번호1번 저당,https://smartstore.naver.com/dduddustore/products/5628681133,4500,1.0,1.0,1.0,0.0,0.0,호박 케이크
151,14,저당간식 비건베이커리 글루텐프리 아몬드 쿠키,https://smartstore.naver.com/veganez/products/10088851664,5000,1.0,0.0,0.0,1.0,0.0,🍪
152,16,글루텐프리 다이어트빵 쌀디저트 찹쌀휘낭시에 2개 세트 비건 구움과자 선물 바닐라 카카오,https://smartstore.naver.com/earth-born/products/7862724112,5000,1.0,0.0,0.0,1.0,0.0,바닐라 카카오
153,8,[모닐이네하우스] 🌾 100% 글루텐프리 쌀로 만든 베이글 (비건/GF),https://smartstore.naver.com/monil2house/products/8866615221,3600,1.0,0.0,0.0,1.0,0.0,플레인 (글루텐프리/비건) 치즈(글루텐프리) (+300원) 앙버터(글루텐프리) (+800원) 올리브(글루텐프리/비건) (+200원)
154,15,틴베이크 통밀 단백질 프로틴 베이글 식사 식단 아침 빵,https://smartstore.naver.com/teinbake/products/9809774432,3600,0.0,0.0,0.0,1.0,0.0,오리지널 베이글 블루베리 베이글 (+200원) 올리브베이글 (+200원) (한정)소보로베이글 (+500원) (한정)제주밤호박베이글 (+500원)
155,26,글루텐프리 휘낭시에 저당 디저트 휘낭시에맛집 - 2개입,https://smartstore.naver.com/humming_pound/products/5935853081,5600,1.0,0.5,1.0,0.0,0.0,피칸초코 먹물치즈
156,14,저당간식 크런치 초코볼 비건쿠키 글루텐프리,https://smartstore.naver.com/veganez/products/10098072778,5800,1.0,0.0,0.0,1.0,0.0,🍪
157,23,메종드비건 마들렌,https://smartstore.naver.com/maison_de_vegan/products/4781168927,1500,1.0,0.0,0.0,1.0,0.0,제주유자 얼그레이 제주말차
158,7,그림의빵 저당모닝빵4팩+저당딸기잼 1kg 리필팩+그낭시에4개 세트,https://smartstore.naver.com/grimmsbread/products/8064098289,108900,0.0,0.0,0.0,0.0,0.25,저칼로리 저당 딸기잼 1kg 저당안심 모닝빵 저당 그낭시에 딸기잼1kg
159,9,로브레 / 비건 사브레 쌀비스킷,https://smartstore.naver.com/rawsome/products/6317193762,4400,1.0,0.23529411764705882,0.0,1.0,0.0,"로브레 초코칩로브레 (+400원) 모카로브레 (+400원) 말차로브레 (+400원) 말차초코칩로브레 (+600원) 초코로브레 (+400원) 피스타치오로브레 (+1,400원) 단호박로브레 (+400원) 코코넛모카로브레 (+600원) 황치즈로브레(논비건) (+400원) 깨소미로브레 (+1,100원) 츄러스로브레 (+400원) 고구마로브레 (+400원) 호지로브레 (+800원) 퍼핑로브레 (+400원) 소금로브레 (+400원) 바밤바로브레 (+800원)"
160,30,"구떼 글루텐프리, 오일프리 리얼 퍼지 브라우니",https://smartstore.naver.com/gouterbakery/products/10015767427,20000,0.0,0.0,0.0,1.0,0.0,리얼 퍼지 브라우니 4개 Set 20000
161,6,"[시금치치아바타] 저당빵,건강빵, 식사대용 더브레드블루",https://smartstore.naver.com/thebreadblue/products/10217337021,5390,,,,,,
162,4,프로넛 무설탕 자일리톨 캔디 6가지맛 세트 화이트데이 선물포장 답례품 대량주문,https://smartstore.naver.com/pronut/products/9786795232,16800,1.0,1.0,0.0,0.0,0.0,버라이어티팩 6가지맛 버라이어티팩
163,14,저당 수제 간식 얼그레이 초코칩 글루텐프리 홍차 비건 쿠키,https://smartstore.naver.com/veganez/products/9899556578,5400,1.0,0.0,0.0,1.0,0.0,🍪
164,22,[포포브레드] 홀 파운드 3종 / 크리스마스 글루텐프리 케이크 노밀가루 비건 베이커리,https://smartstore.naver.com/forfourbread/products/6001277363,40000,1.0,0.0,0.0,1.0,0.0,"초바 홀파운드 쑥밤 홀파운드 단호한밤 홀파운드 (+3,000원)"
