query_item,recommendation_item,score,rank,recommendation_theme,model_version,created_at
47,114,0.95146275,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
47,209,0.95146275,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
48,137,0.9317551,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
48,67,0.923559,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
48,181,0.91617185,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
49,47,0.9636593,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
49,114,0.943758,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
49,209,0.943758,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
50,127,0.9563788,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
50,100,0.9378844,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
50,22,0.9338536,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
51,26,0.9342416,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
51,171,0.92823064,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
51,23,0.9279057,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
52,196,0.9830954,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
52,18,0.9382761,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
52,86,0.93783677,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
53,210,0.93343604,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
53,13,0.91252,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
53,137,0.9111089,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
54,110,0.9146276,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
54,119,0.90671766,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
54,39,0.9029503,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
55,7,0.9295348,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
55,132,0.92789227,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
55,44,0.9231721,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
56,65,0.9762891,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
56,2,0.9505493,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
56,204,0.94126314,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
57,34,0.90606767,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
57,125,0.89617586,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
57,191,0.88983935,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
58,185,0.93246657,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
58,132,0.9229981,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
58,188,0.9226643,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
59,108,0.9440318,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
59,78,0.93479955,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
59,84,0.9341151,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
60,144,0.9230774,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
60,163,0.9161062,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
60,189,0.90857404,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
61,171,0.9373162,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
61,119,0.93642676,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
61,120,0.93227553,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
62,34,0.88405323,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
62,73,0.8492238,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
62,163,0.8439734,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
63,95,0.984189,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
63,24,0.97488827,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
63,46,0.9105041,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
64,175,0.9501634,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
64,119,0.94088733,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
64,46,0.9366221,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
65,56,0.9762891,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
65,2,0.9429543,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
65,38,0.9236673,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
66,96,0.99075365,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
